	result	text
13	84.79255015999999	红十字会什么时候查，难道zf只会查我们这些屁民么。
8	84.08486334700001	对啊，推翻那么多也没见过谁被称为造谣，怎么武汉就这么有效率把人家定性造谣了呢？
7	83.68571969	那个时候可是武汉疾控中心的李大人说的不高，至于他怎么得出的这结论，我就不知道了。我只知道不到一百小时他就被打脸了
0	83.46864160800001	我爸一开始就知道，自己就偷偷查资料，心里比谁都清楚，这才更难过，眼看着自己慢慢萎缩衰竭。。我爸一开始也是以为腰间盘等的问题，跑了好多地方才确诊的。
24	82.34450973999999	 为您点赞
17	82.24230175	身体无力需照顾，需喂，生活无法自理，好像那种被判无期徒刑的煎熬，然后不知道哪天突然就会离开
25	81.683372215	这是为啥啊
16	80.847923305	对啊！有些话像故意那样。
28	80.34528344	千金莎莎加油！K宝展现自己享受比赛就好！
30	79.87363192000001	我也喜欢俄罗斯花滑女运动员
31	79.75910242999998	了不起
4	79.4318615	真正的英雄
3	79.15565071500001	好人有好报
14	79.14477768	我愿意捐款让张院长好好治病
20	78.4345247	怕被骂就公布违背事实的消息，这不算造谣吗？
34	78.2699247	最乐观也只有八九年时间
26	78.24769345	比起流量明星整天因为哭了或者干嘛了天天挂热搜，这些平凡的救死扶伤的好人更值得多报道
21	78.23143021	怎么传不都不知道就告诉群众传染性不强？
12	77.82308504	不！您能活得更久！时光不会亏待任何好人！
33	77.53890203200001	祝福张院长，致敬
1	77.46793728	天妒英才
11	76.57882959999999	天呐，谢谢您
9	76.57306507	我外祖父生前就是这个病
32	76.56735991	都是美女
2	76.5463458	谢尔巴科娃真的美丽优雅
18	76.42606063	好人有好报啊哭了
27	76.30830680999999	愿您事事顺利
22	76.27113181000001	要平安 要健康 要快乐！
35	76.26708391999999	张院长一定要长命百岁，
36	76.23802304	致敬英雄
23	76.200077155	祝好人一生平安
5	76.15194288000001	这活出生命的宽度
6	75.78232884	您一定保重！
29	75.73378306000001	希望好人有好报  祝您身体健康
10	75.61180724	好人有好报快应验一次吧……
15	71.394600492	我姨妈4年就走了……
19	71.10410985	啊啊啊啊啊啊三娃冲啊啊啊啊啊啊
